ATTR | apps/web/src/modules/admin/pages/AdminAuth.tsx | placeholder | admin@platform.com
ATTR | apps/web/src/modules/admin/pages/AdminClients.tsx | placeholder | Buscar por nome ou ID...
ATTR | apps/web/src/modules/admin/pages/AdminLogs.tsx | placeholder | Buscar...
ATTR | apps/web/src/modules/admin/pages/AdminLogs.tsx | placeholder | Todos os tipos
ATTR | apps/web/src/modules/admin/pages/AdminSupport.tsx | aria-label | Ticket actions
ATTR | apps/web/src/modules/admin/pages/AdminSupport.tsx | placeholder | Buscar por ID, título ou usuário...
ATTR | apps/web/src/modules/admin/pages/AdminSupport.tsx | placeholder | Digite sua resposta...
ATTR | apps/web/src/modules/admin/pages/AdminSupport.tsx | placeholder | Todas Prioridades
ATTR | apps/web/src/modules/admin/pages/AdminSupport.tsx | placeholder | Todos os Status
ATTR | apps/web/src/modules/auth/guards/RouteGuards.tsx | aria-label | Loading session
ATTR | apps/web/src/modules/auth/pages/AuthPage.tsx | placeholder | you@company.com
ATTR | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | placeholder | INV-001
ATTR | apps/web/src/modules/billing/components/EditInvoiceModal.tsx | placeholder | JOB-001
ATTR | apps/web/src/modules/billing/pages/BillingPage.tsx | aria-label | Invoice actions
ATTR | apps/web/src/modules/billing/pages/BillingPage.tsx | placeholder | Search by
ATTR | apps/web/src/modules/billing/pages/BillingPage.tsx | placeholder | Status
ATTR | apps/web/src/modules/communications/components/BroadcastModal.tsx | placeholder | Type your message...
ATTR | apps/web/src/modules/communications/components/NewMessageModal.tsx | placeholder | Search customers...
ATTR | apps/web/src/modules/communications/components/NewMessageModal.tsx | placeholder | Search team members...
ATTR | apps/web/src/modules/communications/components/NewMessageModal.tsx | placeholder | Type your message...
ATTR | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | aria-label | Archive conversation
ATTR | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | aria-label | Attach file
ATTR | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | aria-label | Send message
ATTR | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | placeholder | Search conversations...
ATTR | apps/web/src/modules/communications/pages/CommunicationsPage.tsx | placeholder | Write a message...
ATTR | apps/web/src/modules/crm/components/CrmTabs.tsx | aria-label | CRM navigation
ATTR | apps/web/src/modules/crm/contacts/pages/ContactsPage.tsx | aria-label | Contact actions
ATTR | apps/web/src/modules/crm/contacts/pages/ContactsPage.tsx | placeholder | Contact Type
ATTR | apps/web/src/modules/crm/contacts/pages/ContactsPage.tsx | placeholder | Search contacts...
ATTR | apps/web/src/modules/crm/contacts/pages/ContactsPage.tsx | placeholder | Status
